INFO:root:         3089015 function calls (3068914 primitive calls) in 7.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1500    0.001    0.000    0.020    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_continuous_distns.py:223(_logpdf)
     1500    0.001    0.000    0.020    0.000 <__array_function__ internals>:2(any)
     9006    0.010    0.000    0.019    0.000 {built-in method _abc._abc_instancecheck}
     1500    0.019    0.000    0.019    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_continuous_distns.py:165(_norm_logpdf)
     3000    0.019    0.000    0.019    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     3000    0.002    0.000    0.019    0.000 <__array_function__ internals>:2(take)
     1500    0.002    0.000    0.017    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2189(any)
     1500    0.003    0.000    0.017    0.000 {method 'mean' of 'numpy.generic' objects}
     4506    0.005    0.000    0.017    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:2843(replace)
      500    0.014    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/distns/normal.py:25(D_nll)
     6000    0.006    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1648(ravel)
     3000    0.003    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:97(take)
     4000    0.007    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/utils/validation.py:866(check_is_fitted)
     1500    0.001    0.000    0.014    0.000 <__array_function__ internals>:2(place)
     6008    0.014    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/lib/function_base.py:2031(__init__)
    14000    0.010    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numerictypes.py:293(issubclass_)
    20506    0.006    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/_asarray.py:88(asanyarray)
     2500    0.002    0.000    0.013    0.000 <__array_function__ internals>:2(atleast_1d)
     4506    0.008    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:484(unwrap)
     1500    0.002    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/lib/function_base.py:1684(place)
     6000    0.010    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/warnings.py:474(__enter__)
     4502    0.010    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/_methods.py:50(_count_reduce_items)
     3004    0.011    0.000    0.011    0.000 {method 'take' of 'numpy.ndarray' objects}
     1000    0.001    0.000    0.011    0.000 <__array_function__ internals>:2(amax)
      500    0.009    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/distns/normal.py:41(fisher_info)
     1500    0.009    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:895(_support_mask)
     1500    0.010    0.000    0.010    0.000 {built-in method numpy.core._multiarray_umath._insert}
     9006    0.002    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/abc.py:141(__subclasscheck__)
     6004    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   116805    0.009    0.000    0.009    0.000 {method 'lower' of 'str' objects}
